"ORDER_ID","STARTUP_ID","COUNTRY","EXTENSION","ENROLLMENT_DATE","NS_INTERNAL_ID","PAYING_CUSTOMER","PAYING_CUSTOMER_DATE","MIGRATION_STAGE","PRODUCTION_STAGE","MENTORSHIP_MILESTONES"
3060,1001,"Canada","",21-SEP-19,24366,"",,,1,
2606,227,"United Kingdom","Y",02-JUL-19,2500,"Y",02-JUL-21,,2,
2607,228,"United States of America","",02-JUL-19,10164,"",,,,
2608,229,"United States of America","",02-JUL-19,10161,"",,,1,
2609,230,"United States of America","Y",02-JUL-19,10162,"",,9,1,5
2610,231,"United States of America","",02-JUL-19,10163,"",,,1,
2611,232,"United States of America","",02-JUL-19,4163,"",,,1,
2643,264,"United Kingdom","Y",09-JUL-19,2372,"Y",30-NOV-19,,3,
2565,186,"United States of America","",25-JUN-19,7569,"",,,1,
2522,123,"Brazil","",18-JUN-19,7588,"",,,1,
2711,634,"United States of America","Y",22-JUL-19,20148,"Y",29-DEC-19,10,3,4
2712,635,"Brazil","Y",20-JUL-19,13756,"",,,1,
2713,636,"Brazil","Y",22-JUL-19,20149,"",,,1,
2715,637,"Brazil","Y",23-JUL-19,551,"Y",13-JAN-21,,3,
9317,23135,"United States of America","Y",01-OCT-21,589344,"Y",16-DEC-21,,3,
2616,237,"Belgium","Y",03-JUL-19,18870,"Y",08-SEP-20,,2,
2617,238,"Ireland","Y",04-JUL-19,18867,"Y",04-JUL-21,,2,
2644,265,"Brazil","",10-JUL-19,19119,"Y",10-JUL-21,,2,
2669,289,"Belgium","Y",15-JUL-19,19371,"Y",15-JUL-21,,2,
2670,290,"United States of America","",15-JUL-19,19373,"",,,,
2672,292,"Israel","Y",14-JUL-19,2444,"",,,1,
2673,293,"Israel","",15-JUL-19,19372,"",,,1,
3000,941,"Mexico","Y",12-SEP-19,23441,"Y",04-JAN-21,,2,
3001,942,"United States of America","Y",12-SEP-19,421,"",,,,
3002,943,"Colombia","",13-SEP-19,23442,"",,,1,
3003,944,"United Kingdom","",12-SEP-19,23437,"",,,1,
3004,945,"Brazil","",12-SEP-19,23440,"",,,1,
3005,946,"Greece","",12-SEP-19,23438,"",,,1,
3006,947,"France","",11-SEP-19,23439,"",,,1,1
3180,1121,"Brazil","",10-OCT-19,25765,"",,,1,
2621,242,"United States of America","",05-JUL-19,18973,"",,,,
2622,243,"France","",05-JUL-19,18972,"",,,1,
2642,263,"Cayman Islands","",08-JUL-19,19110,"",,,,
2660,281,"Israel","Y",11-JUL-19,2469,"Y",04-MAR-20,,3,
2662,283,"United Kingdom","Y",12-JUL-19,19142,"Y",10-OCT-19,,2,
3140,1081,"Singapore","Y",03-OCT-19,25763,"Y",03-OCT-21,,2,
3141,1082,"Denmark","Y",05-OCT-19,25764,"",,,1,
3142,1083,"United States of America","Y",03-OCT-19,25735,"Y",03-OCT-21,4,3,1
3143,1084,"United States of America","Y",03-OCT-19,4370,"Y",03-SEP-20,4,3,1
2600,221,"Turkey","",01-JUL-19,9824,"",,,1,
2601,222,"United States of America","Y",30-JUN-19,9806,"Y",03-DEC-19,10,3,
2602,223,"India","Y",30-JUN-19,6253,"",,,1,
3121,1062,"Portugal","Y",30-SEP-19,25723,"",,,1,
3122,1063,"Netherlands","Y",02-OCT-19,25724,"Y",22-MAY-21,4,3,
3638,1559,"United States of America","Y",12-DEC-19,19114,"",,,1,
2541,144,"India","",25-JUN-19,9082,"",,,1,
2542,145,"India","",25-JUN-19,19903,"",,,1,1
2543,148,"Denmark","Y",25-JUN-19,2303,"Y",15-JAN-20,,3,1
2544,160,"United Kingdom","Y",25-JUN-19,9081,"Y",25-JUN-21,,3,3
3123,1064,"United States of America","Y",01-OCT-19,25726,"Y",20-OCT-20,,2,
3124,1065,"Canada","Y",01-OCT-19,5500,"",,,1,
3125,1066,"United States of America","",01-OCT-19,25727,"",,,1,
2545,167,"Brazil","",24-JUN-19,6259,"",,,1,
3126,1067,"Ireland","Y",03-OCT-19,25748,"",,,1,
2560,181,"India","Y",26-JUN-19,810,"Y",26-JAN-21,,3,
