"STARTUP_ID","ORDER_ID","SPM","MONTH","SUM(USED_AMOUNT_CD)","SUM(PAYG_AMOUNT_CD)","SUM(PROMO_AMOUNT_CD)"
113,2512,"10910255",01-JUN-19,0.00000000323921,0,0.00000000323921
115,2514,"10915720",01-OCT-21,2.00669448,2.00669448,0
634,2711,"10969947",01-JUL-19,26.289946716,0,26.289946716
237,2616,"10925808",01-JUL-19,26.2237171640423,0,26.2237171640423
4367,7102,"11757519",01-JUN-22,1356.591735557,1356.591735557,0
19832,8044,"14494287",01-OCT-21,29.74652988,0,29.74652988
111,2510,"10910303",01-JUL-19,0.0000000008,0,0.0000000008
681,2761,"10986004",01-AUG-19,7.862144350746286,0,7.862144350746286
708,2787,"10993482",01-AUG-19,1.1095277330552,0,1.1095277330552
5128,7545,"11964283",01-OCT-21,0,0,0
122,2521,"10915758",01-JUL-19,0.000000000320803,0,0.000000000320803
3868,6783,"11715090",01-JUN-22,2692.874223179,0,2692.874223179
637,2715,"10972168",01-AUG-19,5.156536600113225,0,5.156536600113225
113,2512,"10910255",01-JUL-19,7.283008005563341,0,7.283008005563341
2311,5548,"11281796",01-OCT-21,14.817139409,0,14.817139409
745,2824,"10999478",01-SEP-19,0.55862079,0,0.55862079
674,2753,"10989974",01-AUG-19,9.10763176,0,9.10763176
810,2871,"11006336",01-SEP-19,15.113651013246889,0,15.113651013246889
814,2875,"11009951",01-AUG-19,5.962399598340727,0,5.962399598340727
636,2713,"10973804",01-AUG-19,10.516407926415158,0,10.516407926415158
715,2794,"10997492",01-AUG-19,0.00000000362175,0,0.00000000362175
640,2718,"10968185",01-AUG-19,11.81127972545,0,11.81127972545
788,2849,"11001532",01-AUG-19,68.369691394115379,0,68.369691394115379
292,2672,"10953557",01-AUG-19,0.0000000002195,0,0.0000000002195
869,2928,"11018091",01-OCT-19,5633.633277694,5633.633277694,0
1021,3080,"11050279",01-OCT-19,600.552561859,179.404470864,421.148090995
