"STARTUP_ID","INDUSTRY1","INDUSTRY2","INDUSTRY3","TECHNOLOGY1","TECHNOLOGY2","TECHNOLOGY3","DESCRIPTION_PROVIDED","REGION_CODE","COUNTRY","DIGITAL_CATALOUGE","MENTOR_BENEFIT","MIGRATION_BENEFIT","FUNDRAISING_ACTIVE_FLAG","STAGE"
1559,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
181,"Financial Services","Professional Services","Health Sciences","Artificial Intelligence","Machine Learning","Customer Experience (CX)","Y","JAPAC","India","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
182,"High Technology","Industrial Manufacturing","Utilities","Virtualization","Virtual Reality/Augmented Reality","","Y","EMEA","Austria","","","","N","Bootstrap (We don’t plan on raising venture capital)"
183,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
184,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
185,"Professional Services","Communications","Insurance","Blockchain","Customer Experience (CX)","Document Management","Y","NAS","United States of America","","Y","","N","Bootstrap (We don’t plan on raising venture capital)"
186,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
187,"Financial Services","High Technology","Communications","Financial Management","Blockchain","Artificial Intelligence","Y","NAS","United States of America","","Y","","N","Bootstrap (We don’t plan on raising venture capital)"
221,"Professional Services","","","Marketing","","","Y","EMEA","Turkey","","","","N","Bootstrap (We don’t plan on raising venture capital)"
222,"Professional Services","","","Project Portfolio Management Cloud","Financials Cloud","Human Capital Management Cloud","Y","NAS","United States of America","Y","","Y","N","Bootstrap (We don’t plan on raising venture capital)"
223,"","","","","","","N","JAPAC","India","","","","N","Bootstrap (We don’t plan on raising venture capital)"
224,"Professional Services","","","Node.js","Python","","Y","JAPAC","India","","","","N","Bootstrap (We don’t plan on raising venture capital)"
226,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
233,"Media and Entertainment","Healthcare","","Cloud","Cloud Computing","","Y","JAPAC","Singapore","Y","","","Y","Seed (Total raised $500K-2M)"
234,"","","","","","","N","LAD","Colombia","","","","N","Bootstrap (We don’t plan on raising venture capital)"
637,"High Technology","","","Human Capital Management (HCM)","","","Y","LAD","Brazil","","","","N","Bootstrap (We don’t plan on raising venture capital)"
205,"Media and Entertainment","Healthcare","Financial Services","Big Data","Cloud","Open Source","Y","NAS","United States of America","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
206,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
207,"Media and Entertainment","Retail","High Technology","Customer Experience (CX)","Service-Oriented Architecture (SOA)","Artificial Intelligence","Y","NAS","United States of America","","Y","","N","Bootstrap (We don’t plan on raising venture capital)"
208,"High Technology","Research Organizations","","Human Capital Management (HCM)","","","Y","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
202,"Travel and Transportation","Public Sector","High Technology","Database","Business Analytics","Business Intelligence","Y","EMEA","Belgium","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
227,"","","","","","","N","EMEA","United Kingdom","","","","N","Bootstrap (We don’t plan on raising venture capital)"
228,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
229,"Education and Research","","","Big Data","","","Y","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
230,"Professional Services","High Technology","Financial Services","Cloud","Enterprise Resource Planning (ERP)","Blockchain","Y","NAS","United States of America","","Y","Y","N","Bootstrap (We don’t plan on raising venture capital)"
231,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
232,"Financial Services","High Technology","","Human Capital Management (HCM)","Blockchain","Financial Management","Y","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
235,"","","","","","","N","LAD","Chile","","","","N","Bootstrap (We don’t plan on raising venture capital)"
237,"","","","","","","N","EMEA","Belgium","","","","N","Bootstrap (We don’t plan on raising venture capital)"
238,"","","","","","","N","EMEA","Ireland","","","","N","Bootstrap (We don’t plan on raising venture capital)"
241,"Chemicals","Manufacturing","Industrial Manufacturing","Big Data","Internet of Things","Supply Chain Management Cloud","Y","LAD","Brazil","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
242,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
243,"","","","","","","N","EMEA","France","","","","N","Bootstrap (We don’t plan on raising venture capital)"
262,"High Technology","","","Cloud","","","Y","NAS","Canada","","","","N","Bootstrap (We don’t plan on raising venture capital)"
263,"","","","","","","N","LAD","Cayman Islands","","","","N","Bootstrap (We don’t plan on raising venture capital)"
264,"Education and Research","","","Cloud","","","Y","EMEA","United Kingdom","","","","N","Bootstrap (We don’t plan on raising venture capital)"
265,"","","","","","","N","LAD","Brazil","","","","N","Bootstrap (We don’t plan on raising venture capital)"
266,"Healthcare","","","Internet of Things","Mobile","Virtualization","Y","LAD","Chile","","","","N","Bootstrap (We don’t plan on raising venture capital)"
267,"Healthcare","","","Database","","","Y","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
268,"Financial Services","Healthcare","High Technology","Customer Experience (CX)","Artificial Intelligence","Cloud","Y","NAS","United States of America","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
269,"","","","","","","N","EMEA","Spain","","","","N","Bootstrap (We don’t plan on raising venture capital)"
144,"","","","","","","N","JAPAC","India","","","","N","Bootstrap (We don’t plan on raising venture capital)"
145,"High Technology","Financial Services","Retail","Cloud","Cloud Computing","Artificial Intelligence","Y","JAPAC","India","","Y","","N","Bootstrap (We don’t plan on raising venture capital)"
148,"Consumer Goods","Manufacturing","Retail","Artificial Intelligence","Chatbot","Customer Experience (CX)","Y","EMEA","Denmark","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
160,"Financial Services","Travel and Transportation","Insurance","Document Management","Business Process Management","","Y","EMEA","United Kingdom","Y","","","Y","Bootstrap (We don’t plan on raising venture capital)"
167,"Financial Services","Healthcare","Insurance","Human Capital Management (HCM)","Big Data","Software as a Service (SaaS)","Y","LAD","Brazil","","","","N","Bootstrap (We don’t plan on raising venture capital)"
103,"Financial Services","Financial Services Capital Markets","","Managed Cloud Services","Blockchain","Database","Y","LAD","Brazil","","Y","","N","Bootstrap (We don’t plan on raising venture capital)"
104,"High Technology","Financial Services","Healthcare","Artificial Intelligence","Big Data","","Y","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
105,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
106,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
107,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
108,"Aerospace and Defense","Media and Entertainment","High Technology","Big Data","Artificial Intelligence","Enterprise Content Management","Y","NAS","United States of America","Y","Y","","N","Bootstrap (We don’t plan on raising venture capital)"
109,"Healthcare","","","Internet of Things","Supply Chain Management (SCM)","Blockchain","Y","NAS","United States of America","","Y","","N","Bootstrap (We don’t plan on raising venture capital)"
110,"Utilities","Insurance","","Artificial Intelligence","Workforce Management Cloud","Asset Lifecycle Management","Y","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
101,"","","","","","","N","LAD","Brazil","","","","N","Bootstrap (We don’t plan on raising venture capital)"
102,"Retail","","","Commerce Cloud","Software as a Service (SaaS)","Customer Experience (CX)","Y","LAD","Brazil","","Y","","N","Bootstrap (We don’t plan on raising venture capital)"
111,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
112,"","","","","","","N","NAS","United States of America","","","","N","Bootstrap (We don’t plan on raising venture capital)"
113,"Education and Research","Automotive","Healthcare","Blockchain","","","Y","JAPAC","India","","","","N","Bootstrap (We don’t plan on raising venture capital)"
115,"Utilities","","","Artificial Intelligence","Big Data","","Y","JAPAC","Australia","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
116,"High Technology","","","Big Data","","","Y","EMEA","Ireland","","","","N","Bootstrap (We don’t plan on raising venture capital)"
117,"Retail","Consumer Goods","Insurance","Big Data","Mobile","Customer Experience (CX)","Y","EMEA","Netherlands","","","","N","Bootstrap (We don’t plan on raising venture capital)"
118,"Communications","","","Internet of Things","Security","Blockchain","Y","EMEA","Germany","","","","N","Bootstrap (We don’t plan on raising venture capital)"
119,"Financial Services","Healthcare","Public Sector","Database","Blockchain","Service-Oriented Architecture (SOA)","Y","EMEA","United Kingdom","Y","Y","","N","Bootstrap (We don’t plan on raising venture capital)"
121,"","","","","","","N","EMEA","United Kingdom","","","","N","Bootstrap (We don’t plan on raising venture capital)"
122,"High Technology","Professional Services","Consumer Goods","Cloud","Customer Experience (CX)","Software as a Service (SaaS)","Y","LAD","Brazil","Y","","","N","Bootstrap (We don’t plan on raising venture capital)"
123,"High Technology","Financial Services","Insurance","Virtualization","Cloud Computing","Linux","Y","LAD","Brazil","","","","N","Bootstrap (We don’t plan on raising venture capital)"
